wu,wr,wd,wl,au,ar,ad,al,aur,adr,aul,adl,dis,direction
292,372,308,228,1,0,0,0,,,,,188.04254837669055,3
284,372,316,228,1,0,0,0,,,,,180.0444389588304,3
276,372,324,228,1,0,0,0,,,,,172.04650534085255,3
268,372,332,228,1,0,0,0,,,,,164.04877323527901,3
260,372,340,228,1,0,0,0,,,,,156.05127362504928,3
252,372,348,228,1,0,0,0,,,,,148.05404418657398,3
244,372,356,228,1,0,0,0,,,,,140.05713120009278,3
236,372,364,228,1,0,0,0,,,,,132.06059215375342,3
228,372,372,228,1,0,0,0,,,,,124.06449935416659,3
220,372,380,228,1,0,0,0,,,,,116.06894502837527,3
212,372,388,228,1,0,0,0,,,,,108.07404868885037,3
204,372,396,228,1,0,0,0,,,,,100.07996802557443,3
196,372,404,228,1,0,0,0,,,,,92.0869154657707,3
188,372,412,228,1,0,0,0,,,,,84.09518416651456,3
180,372,420,228,1,0,0,0,,,,,76.10519036176179,3
172,372,428,228,1,0,0,0,,,,,68.11754546370561,3
164,372,436,228,1,0,0,0,,,,,60.13318551349163,3
156,372,444,228,1,0,0,0,,,,,52.15361924162119,3
148,372,452,228,1,0,0,0,,,,,44.181444068749045,3
140,372,460,228,1,0,0,0,,,,,36.22154055254967,3
132,372,468,228,0,0,1,0,,,,,120.9297316626478,2
140,380,460,220,0,0,1,0,,,,,109.83624174196785,2
148,388,452,212,0,0,1,0,,,,,98.79271228182775,2
156,396,444,204,0,0,1,0,,,,,87.8179936004006,2
164,404,436,196,0,0,1,0,,,,,76.94153624668537,2
172,412,428,188,0,0,1,0,,,,,66.2117814289874,2
180,420,420,180,0,0,1,0,,,,,55.71355310873648,2
188,428,412,172,0,0,1,0,,,,,45.60701700396552,2
196,436,404,164,0,0,1,0,,,,,36.22154055254967,2
204,444,396,156,0,0,1,0,,,,,254.55844122715712,2
212,436,388,164,0,0,1,0,,,,,245.60130292814003,2
220,428,380,172,0,0,1,0,,,,,236.8459414893994,2
228,420,372,180,0,0,1,0,,,,,228.31557108528537,2
236,412,364,188,0,0,1,0,,,,,220.03636063160107,2
244,404,356,196,1,0,0,0,,,,,212.03773249117714,2
244,396,356,204,1,0,0,0,,,,,204.0392119177096,2
244,388,356,212,1,0,0,0,,,,,196.04081207748553,2
244,380,356,220,1,0,0,0,,,,,188.04254837669055,2
244,372,356,228,1,0,0,0,,,,,180.0444389588304,2
244,364,356,236,1,0,0,0,,,,,172.04650534085255,2
244,356,356,244,1,0,0,0,,,,,164.04877323527901,2
244,348,356,252,1,0,0,0,,,,,156.05127362504928,2
244,340,356,260,1,0,0,0,,,,,148.05404418657398,2
244,332,356,268,1,0,0,0,,,,,140.05713120009278,2
244,324,356,276,1,0,0,0,,,,,132.06059215375342,2
244,316,356,284,1,0,0,0,,,,,124.06449935416659,2
244,308,356,292,1,0,0,0,,,,,116.06894502837527,2
244,300,356,300,1,0,0,0,,,,,108.07404868885037,2
244,292,356,308,1,0,0,0,,,,,100.07996802557443,2
244,284,356,316,1,0,0,0,,,,,92.0869154657707,2
244,276,356,324,1,0,0,0,,,,,84.09518416651456,2
244,268,356,332,1,0,0,0,,,,,76.10519036176179,2
244,260,356,340,1,0,0,0,,,,,68.11754546370561,2
244,252,356,348,1,0,0,0,,,,,60.13318551349163,2
244,244,356,356,1,0,0,0,,,,,52.15361924162119,2
244,236,356,364,1,0,0,0,,,,,44.181444068749045,2
244,228,356,372,1,0,0,0,,,,,36.22154055254967,2
244,220,356,380,0,0,1,0,,,,,443.0079006067499,2
252,228,348,372,0,0,1,0,,,,,431.7406628984581,2
260,236,340,364,0,0,1,0,,,,,420.47592083257274,2
268,244,332,356,0,0,1,0,,,,,409.2138805074921,2
276,252,324,348,0,0,1,0,,,,,397.95477129945306,2
284,260,316,340,0,0,1,0,,,,,386.6988492354225,2
292,268,308,332,0,0,1,0,,,,,375.44640096823406,2
300,276,300,324,0,0,1,0,,,,,364.1977484828812,2
308,284,292,316,0,0,1,0,,,,,352.95325469529246,2
316,292,284,308,0,0,1,0,,,,,341.7133301467767,2
324,300,276,300,0,0,1,0,,,,,330.47844105175756,2
332,308,268,292,0,0,1,0,,,,,319.24911902775864,2
340,316,260,284,0,0,1,0,,,,,308.0259729308553,2
348,324,252,276,0,0,1,0,,,,,296.8097033454264,2
356,332,244,268,0,0,1,0,,,,,285.60112044598145,2
364,340,236,260,0,0,1,0,,,,,274.40116617827994,2
372,348,228,252,0,0,1,0,,,,,263.21094202179364,2
380,356,220,244,0,0,1,0,,,,,252.03174403237384,2
388,364,212,236,0,0,1,0,,,,,240.86510747719356,2
396,372,204,228,0,0,1,0,,,,,229.71286424577968,2
404,380,196,220,0,0,1,0,,,,,218.577217477028,2
412,388,188,212,0,0,1,0,,,,,207.46083967823904,2
420,396,180,204,0,0,1,0,,,,,196.36700333813724,2
428,404,172,196,0,0,1,0,,,,,185.29975715040752,2
436,412,164,188,0,0,1,0,,,,,174.26416728633572,2
444,420,156,180,0,0,1,0,,,,,163.2666530556684,2
452,428,148,172,0,0,1,0,,,,,152.31546211727817,2
460,436,140,164,0,0,1,0,,,,,141.4213562373095,2
468,444,132,156,0,0,1,0,,,,,130.59862173851607,2
476,452,124,148,0,0,1,0,,,,,119.86659251017358,2
484,460,116,140,0,0,1,0,,,,,109.2520022699813,2
492,468,108,132,0,0,1,0,,,,,98.79271228182775,2
500,476,100,124,0,0,1,0,,,,,88.54377448471462,2
