wu,wr,wd,wl,au,ar,ad,al,bu,br,bd,bl,direction
316,300,284,300,,,,,1.0,0.0,0.0,0.0,2
324,300,276,300,,,,,1.0,0.0,0.0,0.0,2
332,300,268,300,,,,,1.0,0.0,0.0,0.0,2
340,300,260,300,,,,,1.0,0.0,0.0,0.0,2
348,300,252,300,,,,,1.0,0.0,0.0,0.0,2
356,300,244,300,,,,,1.0,0.0,0.0,0.0,2
364,300,236,300,,,,,1.0,0.0,0.0,0.0,2
372,300,228,300,,,,,1.0,0.0,0.0,0.0,2
380,300,220,300,,,,,1.0,0.0,0.0,0.0,2
388,300,212,300,,,,,1.0,0.0,0.0,0.0,2
396,292,204,308,,,,,,,,,2
396,284,204,316,,,,,0.0,0.0,0.0,1.0,2
396,276,204,324,,,,,0.0,0.0,0.0,1.0,2
396,268,204,332,,,,,0.0,0.0,0.0,1.0,2
396,260,204,340,,,,,0.0,0.0,0.0,1.0,2
396,252,204,348,,,,,0.0,0.0,0.0,1.0,2
404,260,196,340,,,,,1.0,0.0,0.0,0.0,2
412,268,188,332,,,,,1.0,0.0,0.0,0.0,2
420,276,180,324,,,,,1.0,0.0,0.0,0.0,2
428,284,172,316,,,,,,,,,2
436,292,164,308,,,,,,,,,2
436,300,164,300,,,,,0.0,1.0,0.0,0.0,2
436,308,164,292,,,,,0.0,1.0,0.0,0.0,2
444,300,156,300,,,,,1.0,0.0,0.0,0.0,2
452,292,148,308,,,,,1.0,0.0,0.0,0.0,2
460,284,140,316,,,,,1.0,0.0,0.0,0.0,2
468,276,132,324,,,,,1.0,0.0,0.0,0.0,2
476,268,124,332,,,,,,,,,2
484,260,116,340,,,,,,,,,2
492,252,108,348,,,,,,,,,2
500,244,100,356,,,,,,,,,2
508,236,92,364,,,,,,,,,2
516,228,84,372,,,,,,,,,2
524,220,76,380,,,,,,,,,2
532,212,68,388,,,,,,,,,2
532,204,68,396,,,,,0.0,0.0,0.0,1.0,2
532,196,68,404,,,,,0.0,0.0,0.0,1.0,2
532,188,68,412,,,,,0.0,0.0,0.0,1.0,2
532,180,68,420,,,,,0.0,0.0,0.0,1.0,2
532,172,68,428,,,,,0.0,0.0,0.0,1.0,2
532,164,68,436,,,,,0.0,0.0,0.0,1.0,2
532,156,68,444,,,,,0.0,0.0,0.0,1.0,2
532,148,68,452,,,,,0.0,0.0,0.0,1.0,2
532,140,68,460,,,,,0.0,0.0,0.0,1.0,2
532,132,68,468,,,,,0.0,0.0,0.0,1.0,2
532,124,68,476,,,,,0.0,0.0,0.0,1.0,2
532,116,68,484,,,,,0.0,0.0,0.0,1.0,2
532,108,68,492,,,,,0.0,0.0,0.0,1.0,2
532,100,68,500,,,,,0.0,0.0,0.0,1.0,2
532,92,68,508,,,,,0.0,0.0,0.0,1.0,2
532,84,68,516,,,,,0.0,0.0,0.0,1.0,2
532,76,68,524,,,,,0.0,0.0,0.0,1.0,2
532,68,68,532,,,,,0.0,0.0,0.0,1.0,2
532,60,68,540,,,,,0.0,0.0,0.0,1.0,2
532,52,68,548,,,,,0.0,0.0,0.0,1.0,3
524,60,76,540,,,,,0.0,0.0,1.0,0.0,3
516,68,84,532,,,,,0.0,0.0,1.0,0.0,3
508,76,92,524,,,,,0.0,0.0,1.0,0.0,3
500,84,100,516,,,,,0.0,0.0,1.0,0.0,3
492,92,108,508,,,,,,,,,3
484,100,116,500,,,,,,,,,3
476,108,124,492,,,,,,,,,3
468,116,132,484,,,,,,,,,3
460,124,140,476,,,,,,,,,3
452,132,148,468,,,,,,,,,3
444,140,156,460,,,,,,,,,3
436,148,164,452,,,,,,,,,3
428,156,172,444,,,,,,,,,3
420,164,180,436,,,,,,,,,3
412,172,188,428,,,,,,,,,3
404,180,196,420,,,,,,,,,3
396,188,204,412,,,,,,,,,3
388,196,212,404,,,,,,,,,3
380,204,220,396,,,,,,,,,3
372,212,228,388,,,,,,,,,3
364,212,236,388,,,,,0.0,0.0,1.0,0.0,3
356,212,244,388,,,,,0.0,0.0,1.0,0.0,3
348,212,252,388,,,,,0.0,0.0,1.0,0.0,3
340,212,260,388,,,,,0.0,0.0,1.0,0.0,3
332,212,268,388,,,,,0.0,0.0,1.0,0.0,3
324,212,276,388,,,,,0.0,0.0,1.0,0.0,3
316,212,284,388,,,,,0.0,0.0,1.0,0.0,3
308,212,292,388,,,,,0.0,0.0,1.0,0.0,3
300,212,300,388,,,,,0.0,0.0,1.0,0.0,3
292,212,308,388,,,,,0.0,0.0,1.0,0.0,3
284,212,316,388,,,,,0.0,0.0,1.0,0.0,3
276,212,324,388,,,,,0.0,0.0,1.0,0.0,3
268,212,332,388,,,,,0.0,0.0,1.0,0.0,3
260,212,340,388,,,,,0.0,0.0,1.0,0.0,3
252,212,348,388,,,,,0.0,0.0,1.0,0.0,3
244,212,356,388,,,,,0.0,0.0,1.0,0.0,3
236,212,364,388,,,,,0.0,0.0,1.0,0.0,3
228,212,372,388,,,,,0.0,0.0,1.0,0.0,3
220,212,380,388,,,,,0.0,0.0,1.0,0.0,3
212,212,388,388,,,,,0.0,0.0,1.0,0.0,3
204,212,396,388,,,,,0.0,0.0,1.0,0.0,3
196,212,404,388,,,,,0.0,0.0,1.0,0.0,3
188,212,412,388,,,,,0.0,0.0,1.0,0.0,3
180,212,420,388,,,,,0.0,0.0,1.0,0.0,2
188,220,412,380,,,,,0.0,1.0,0.0,0.0,2
196,228,404,372,,,,,0.0,1.0,0.0,0.0,2
204,236,396,364,,,,,0.0,1.0,0.0,0.0,2
212,244,388,356,,,,,0.0,1.0,0.0,0.0,2
220,252,380,348,,,,,0.0,1.0,0.0,0.0,2
228,260,372,340,,,,,,,,,2
236,268,364,332,,,,,,,,,2
244,276,356,324,,,,,,,,,2
252,284,348,316,,,,,,,,,2
260,292,340,308,,,,,,,,,2
268,300,332,300,,,,,,,,,2
276,308,324,292,,,,,,,,,2
284,316,316,284,,,,,,,,,2
292,324,308,276,,,,,,,,,2
300,332,300,268,,,,,,,,,2
308,340,292,260,,,,,,,,,2
316,348,284,252,,,,,,,,,2
324,356,276,244,,,,,,,,,2
332,364,268,236,,,,,,,,,2
340,372,260,228,,,,,,,,,2
348,380,252,220,,,,,,,,,2
356,388,244,212,,,,,,,,,2
364,396,236,204,,,,,,,,,2
372,404,228,196,,,,,,,,,2
380,412,220,188,,,,,,,,,2
388,420,212,180,,,,,,,,,2
396,428,204,172,,,,,,,,,2
404,436,196,164,,,,,,,,,2
412,444,188,156,,,,,,,,,2
420,452,180,148,,,,,,,,,2
428,460,172,140,,,,,,,,,2
436,468,164,132,,,,,,,,,2
444,476,156,124,,,,,,,,,2
452,484,148,116,,,,,,,,,2
460,492,140,108,,,,,,,,,2
468,500,132,100,,,,,,,,,2
476,508,124,92,,,,,,,,,2
484,516,116,84,,,,,,,,,0
476,508,124,92,,,,,,,,,0
468,500,132,100,,,,,,,,,0
460,492,140,108,,,,,,,,,0
452,484,148,116,,,,,,,,,0
444,476,156,124,,,,,,,,,0
436,468,164,132,,,,,,,,,0
428,460,172,140,,,,,,,,,0
420,452,180,148,,,,,,,,,0
412,444,188,156,,,,,,,,,0
404,436,196,164,,,,,,,,,0
396,428,204,172,,,,,,,,,0
388,420,212,180,,,,,,,,,0
380,412,220,188,,,,,,,,,0
372,404,228,196,,,,,,,,,0
364,396,236,204,,,,,,,,,0
356,388,244,212,,,,,,,,,0
348,380,252,220,,,,,,,,,0
340,372,260,228,,,,,,,,,0
332,364,268,236,,,,,,,,,0
324,356,276,244,,,,,,,,,0
316,348,284,252,,,,,,,,,0
308,340,292,260,,,,,,,,,0
300,332,300,268,,,,,,,,,0
292,324,308,276,,,,,,,,,0
284,316,316,284,,,,,,,,,0
276,308,324,292,,,,,,,,,0
268,300,332,300,,,,,,,,,0
260,292,340,308,,,,,,,,,0
252,284,348,316,,,,,,,,,0
244,276,356,324,,,,,,,,,0
236,268,364,332,,,,,,,,,0
228,260,372,340,,,,,,,,,0
220,252,380,348,,,,,,,,,0
212,244,388,356,,,,,,,,,0
204,236,396,364,,,,,,,,,0
196,228,404,372,,,,,,,,,0
188,220,412,380,,,,,,,,,0
180,212,420,388,,,,,,,,,0
172,204,428,396,,,,,,,,,0
164,196,436,404,,,,,,,,,3
156,196,444,404,,,,,0.0,0.0,1.0,0.0,3
148,196,452,404,,,,,0.0,0.0,1.0,0.0,3
140,196,460,404,,,,,0.0,0.0,1.0,0.0,3
132,196,468,404,,,,,0.0,0.0,1.0,0.0,3
124,196,476,404,,,,,0.0,0.0,1.0,0.0,3
116,196,484,404,,,,,0.0,0.0,1.0,0.0,3
108,196,492,404,,,,,0.0,0.0,1.0,0.0,3
100,204,500,396,,,,,0.0,0.0,1.0,0.0,3
92,212,508,388,,,,,0.0,0.0,1.0,0.0,3
84,220,516,380,,,,,,,,,3
76,228,524,372,,,,,,,,,3
68,236,532,364,,,,,,,,,3
60,244,540,356,,,,,,,,,3
52,252,548,348,,,,,,,,,2
60,260,540,340,,,,,0.0,1.0,0.0,0.0,2
68,268,532,332,,,,,0.0,1.0,0.0,0.0,2
76,276,524,324,,,,,0.0,1.0,0.0,0.0,2
84,284,516,316,,,,,0.0,1.0,0.0,0.0,2
92,284,508,316,,,,,1.0,0.0,0.0,0.0,2
100,284,500,316,,,,,1.0,0.0,0.0,0.0,2
108,284,492,316,,,,,1.0,0.0,0.0,0.0,2
116,284,484,316,,,,,1.0,0.0,0.0,0.0,2
124,284,476,316,,,,,1.0,0.0,0.0,0.0,2
132,284,468,316,,,,,1.0,0.0,0.0,0.0,2
140,284,460,316,,,,,1.0,0.0,0.0,0.0,2
148,284,452,316,,,,,1.0,0.0,0.0,0.0,2
156,284,444,316,,,,,1.0,0.0,0.0,0.0,2
164,284,436,316,,,,,1.0,0.0,0.0,0.0,2
172,284,428,316,,,,,1.0,0.0,0.0,0.0,2
180,284,420,316,,,,,1.0,0.0,0.0,0.0,2
188,284,412,316,,,,,1.0,0.0,0.0,0.0,2
196,284,404,316,,,,,1.0,0.0,0.0,0.0,2
204,284,396,316,,,,,1.0,0.0,0.0,0.0,2
212,284,388,316,,,,,1.0,0.0,0.0,0.0,2
220,284,380,316,,,,,1.0,0.0,0.0,0.0,2
228,284,372,316,,,,,1.0,0.0,0.0,0.0,2
236,284,364,316,,,,,1.0,0.0,0.0,0.0,2
244,284,356,316,,,,,1.0,0.0,0.0,0.0,2
252,284,348,316,,,,,1.0,0.0,0.0,0.0,2
260,284,340,316,,,,,1.0,0.0,0.0,0.0,2
268,284,332,316,,,,,1.0,0.0,0.0,0.0,2
276,284,324,316,,,,,1.0,0.0,0.0,0.0,2
284,284,316,316,,,,,1.0,0.0,0.0,0.0,2
292,284,308,316,,,,,1.0,0.0,0.0,0.0,2
300,284,300,316,,,,,1.0,0.0,0.0,0.0,2
308,284,292,316,,,,,1.0,0.0,0.0,0.0,2
316,284,284,316,,,,,1.0,0.0,0.0,0.0,2
324,284,276,316,,,,,1.0,0.0,0.0,0.0,2
332,284,268,316,,,,,1.0,0.0,0.0,0.0,2
340,284,260,316,,,,,1.0,0.0,0.0,0.0,2
348,284,252,316,,,,,1.0,0.0,0.0,0.0,2
356,284,244,316,,,,,1.0,0.0,0.0,0.0,2
364,284,236,316,,,,,1.0,0.0,0.0,0.0,2
372,284,228,316,,,,,1.0,0.0,0.0,0.0,2
380,284,220,316,,,,,1.0,0.0,0.0,0.0,2
388,284,212,316,,,,,1.0,0.0,0.0,0.0,2
396,284,204,316,,,,,1.0,0.0,0.0,0.0,2
404,284,196,316,,,,,1.0,0.0,0.0,0.0,2
412,284,188,316,,,,,1.0,0.0,0.0,0.0,2
420,284,180,316,,,,,1.0,0.0,0.0,0.0,2
428,284,172,316,,,,,1.0,0.0,0.0,0.0,2
436,284,164,316,,,,,1.0,0.0,0.0,0.0,2
444,284,156,316,,,,,1.0,0.0,0.0,0.0,2
452,284,148,316,,,,,1.0,0.0,0.0,0.0,2
460,284,140,316,,,,,1.0,0.0,0.0,0.0,2
468,284,132,316,,,,,1.0,0.0,0.0,0.0,2
476,284,124,316,,,,,1.0,0.0,0.0,0.0,2
484,284,116,316,,,,,1.0,0.0,0.0,0.0,2
492,284,108,316,,,,,1.0,0.0,0.0,0.0,2
500,284,100,316,,,,,1.0,0.0,0.0,0.0,2
508,284,92,316,,,,,1.0,0.0,0.0,0.0,2
516,284,84,316,,,,,1.0,0.0,0.0,0.0,3
508,292,92,308,,,,,0.0,1.0,0.0,0.0,3
500,292,100,308,,,,,0.0,0.0,1.0,0.0,3
492,292,108,308,,,,,0.0,0.0,1.0,0.0,3
484,292,116,308,,,,,0.0,0.0,1.0,0.0,3
476,292,124,308,,,,,0.0,0.0,1.0,0.0,3
468,292,132,308,,,,,0.0,0.0,1.0,0.0,3
460,292,140,308,,,,,0.0,0.0,1.0,0.0,3
452,292,148,308,,,,,0.0,0.0,1.0,0.0,3
444,292,156,308,,,,,0.0,0.0,1.0,0.0,3
436,292,164,308,,,,,0.0,0.0,1.0,0.0,3
428,292,172,308,,,,,0.0,0.0,1.0,0.0,3
420,292,180,308,,,,,0.0,0.0,1.0,0.0,3
412,292,188,308,,,,,0.0,0.0,1.0,0.0,3
404,292,196,308,,,,,0.0,0.0,1.0,0.0,3
396,292,204,308,,,,,0.0,0.0,1.0,0.0,3
388,292,212,308,,,,,0.0,0.0,1.0,0.0,3
380,292,220,308,,,,,0.0,0.0,1.0,0.0,3
372,292,228,308,,,,,0.0,0.0,1.0,0.0,3
364,292,236,308,,,,,0.0,0.0,1.0,0.0,3
356,292,244,308,,,,,0.0,0.0,1.0,0.0,3
348,292,252,308,,,,,0.0,0.0,1.0,0.0,3
340,292,260,308,,,,,0.0,0.0,1.0,0.0,3
332,292,268,308,,,,,0.0,0.0,1.0,0.0,3
324,292,276,308,,,,,0.0,0.0,1.0,0.0,3
316,292,284,308,,,,,0.0,0.0,1.0,0.0,3
308,292,292,308,,,,,0.0,0.0,1.0,0.0,3
300,292,300,308,,,,,0.0,0.0,1.0,0.0,3
292,292,308,308,,,,,0.0,0.0,1.0,0.0,3
284,292,316,308,,,,,0.0,0.0,1.0,0.0,3
276,292,324,308,,,,,0.0,0.0,1.0,0.0,3
268,292,332,308,,,,,0.0,0.0,1.0,0.0,3
260,292,340,308,,,,,0.0,0.0,1.0,0.0,3
252,292,348,308,,,,,0.0,0.0,1.0,0.0,3
244,292,356,308,,,,,0.0,0.0,1.0,0.0,3
236,292,364,308,,,,,0.0,0.0,1.0,0.0,3
228,292,372,308,,,,,0.0,0.0,1.0,0.0,3
220,292,380,308,,,,,0.0,0.0,1.0,0.0,3
212,292,388,308,,,,,0.0,0.0,1.0,0.0,3
204,292,396,308,,,,,0.0,0.0,1.0,0.0,3
196,292,404,308,,,,,0.0,0.0,1.0,0.0,3
188,292,412,308,,,,,0.0,0.0,1.0,0.0,3
180,292,420,308,,,,,0.0,0.0,1.0,0.0,2
188,300,412,300,,,,,0.0,1.0,0.0,0.0,2
196,308,404,292,,,,,0.0,1.0,0.0,0.0,2
204,316,396,284,,,,,0.0,1.0,0.0,0.0,2
212,324,388,276,,,,,0.0,1.0,0.0,0.0,2
220,332,380,268,,,,,0.0,1.0,0.0,0.0,2
228,340,372,260,,,,,0.0,1.0,0.0,0.0,2
236,348,364,252,,,,,0.0,1.0,0.0,0.0,2
244,356,356,244,,,,,,,,,2
252,364,348,236,,,,,,,,,2
260,372,340,228,,,,,,,,,2
268,380,332,220,,,,,,,,,2
276,388,324,212,,,,,,,,,2
284,396,316,204,,,,,,,,,2
292,404,308,196,,,,,,,,,2
300,404,300,196,,,,,1.0,0.0,0.0,0.0,2
308,404,292,196,,,,,1.0,0.0,0.0,0.0,2
316,404,284,196,,,,,1.0,0.0,0.0,0.0,2
324,404,276,196,,,,,1.0,0.0,0.0,0.0,2
332,404,268,196,,,,,1.0,0.0,0.0,0.0,2
340,404,260,196,,,,,1.0,0.0,0.0,0.0,2
348,404,252,196,,,,,1.0,0.0,0.0,0.0,2
356,404,244,196,,,,,1.0,0.0,0.0,0.0,2
364,404,236,196,,,,,1.0,0.0,0.0,0.0,2
372,404,228,196,,,,,1.0,0.0,0.0,0.0,2
380,404,220,196,,,,,1.0,0.0,0.0,0.0,2
388,404,212,196,,,,,1.0,0.0,0.0,0.0,2
396,404,204,196,,,,,1.0,0.0,0.0,0.0,2
404,404,196,196,,,,,1.0,0.0,0.0,0.0,2
412,404,188,196,,,,,1.0,0.0,0.0,0.0,2
420,404,180,196,,,,,1.0,0.0,0.0,0.0,2
428,404,172,196,,,,,1.0,0.0,0.0,0.0,2
436,404,164,196,,,,,1.0,0.0,0.0,0.0,2
444,404,156,196,,,,,1.0,0.0,0.0,0.0,2
452,404,148,196,,,,,1.0,0.0,0.0,0.0,2
460,404,140,196,,,,,1.0,0.0,0.0,0.0,2
468,404,132,196,,,,,1.0,0.0,0.0,0.0,2
476,404,124,196,,,,,1.0,0.0,0.0,0.0,2
484,404,116,196,,,,,1.0,0.0,0.0,0.0,2
492,404,108,196,,,,,1.0,0.0,0.0,0.0,2
500,404,100,196,,,,,1.0,0.0,0.0,0.0,2
508,404,92,196,,,,,1.0,0.0,0.0,0.0,2
516,404,84,196,,,,,1.0,0.0,0.0,0.0,2
524,404,76,196,,,,,1.0,0.0,0.0,0.0,2
532,404,68,196,,,,,1.0,0.0,0.0,0.0,2
540,404,60,196,,,,,1.0,0.0,0.0,0.0,2
548,404,52,196,,,,,1.0,0.0,0.0,0.0,0
540,396,60,204,,,,,0.0,0.0,0.0,1.0,0
532,388,68,212,,,,,0.0,0.0,0.0,1.0,0
524,380,76,220,,,,,0.0,0.0,0.0,1.0,0
516,372,84,228,,,,,0.0,0.0,0.0,1.0,0
508,364,92,236,,,,,0.0,0.0,0.0,1.0,0
500,356,100,244,,,,,0.0,0.0,0.0,1.0,0
492,348,108,252,,,,,0.0,0.0,0.0,1.0,0
484,340,116,260,,,,,0.0,0.0,0.0,1.0,0
476,332,124,268,,,,,,,,,0
468,324,132,276,,,,,,,,,0
460,316,140,284,,,,,,,,,0
452,308,148,292,,,,,,,,,0
444,300,156,300,,,,,,,,,0
436,292,164,308,,,,,,,,,0
428,284,172,316,,,,,,,,,0
420,276,180,324,,,,,,,,,0
412,268,188,332,,,,,,,,,3
404,268,196,332,,,,,0.0,0.0,1.0,0.0,3
396,268,204,332,,,,,0.0,0.0,1.0,0.0,3
388,268,212,332,,,,,0.0,0.0,1.0,0.0,3
380,268,220,332,,,,,0.0,0.0,1.0,0.0,3
372,268,228,332,,,,,0.0,0.0,1.0,0.0,3
364,268,236,332,,,,,0.0,0.0,1.0,0.0,3
356,268,244,332,,,,,0.0,0.0,1.0,0.0,3
348,268,252,332,,,,,0.0,0.0,1.0,0.0,3
340,268,260,332,,,,,0.0,0.0,1.0,0.0,3
332,268,268,332,,,,,0.0,0.0,1.0,0.0,3
324,268,276,332,,,,,0.0,0.0,1.0,0.0,3
316,268,284,332,,,,,0.0,0.0,1.0,0.0,3
308,268,292,332,,,,,0.0,0.0,1.0,0.0,3
300,268,300,332,,,,,0.0,0.0,1.0,0.0,3
292,268,308,332,,,,,0.0,0.0,1.0,0.0,3
284,268,316,332,,,,,0.0,0.0,1.0,0.0,3
276,268,324,332,,,,,0.0,0.0,1.0,0.0,3
268,268,332,332,,,,,0.0,0.0,1.0,0.0,3
260,268,340,332,,,,,0.0,0.0,1.0,0.0,3
252,268,348,332,,,,,0.0,0.0,1.0,0.0,3
244,276,356,324,,,,,,,,,3
236,284,364,316,,,,,,,,,3
228,292,372,308,,,,,,,,,3
220,300,380,300,,,,,,,,,3
212,308,388,292,,,,,,,,,3
204,316,396,284,,,,,,,,,3
196,324,404,276,,,,,,,,,3
188,332,412,268,,,,,,,,,3
180,340,420,260,,,,,,,,,3
172,348,428,252,,,,,,,,,3
164,356,436,244,,,,,,,,,3
156,364,444,236,,,,,,,,,3
148,372,452,228,,,,,,,,,3
140,380,460,220,,,,,,,,,3
132,388,468,212,,,,,,,,,2
132,396,468,204,,,,,0.0,1.0,0.0,0.0,2
132,404,468,196,,,,,0.0,1.0,0.0,0.0,2
